interview__key,interview__id,ip1,localite,structure,code_ppsp,intitule_ppsp,code_agent,code_interaction,qu1,qu2,qu3,qu4,qu5,qu6,qu7,qu8,qu9,qu10
00000000001,00000000000000000000000001,IP1,Localite4,Structure12,878,PPSP_878,14,1,Oui,Oui,Oui,Non,Oui,Oui,Oui,Non,Oui,Non
00000000002,00000000000000000000000002,IP2,Localite3,Structure4,820,PPSP_820,25,2,Non,Oui,Non,Oui,Oui,Oui,Oui,Non,Non,Oui
00000000003,00000000000000000000000003,IP3,Localite2,Structure6,179,PPSP_179,9,3,Oui,Non,Non,Non,Oui,Oui,Oui,Non,Oui,Oui
00000000004,00000000000000000000000004,IP4,Localite1,Structure12,813,PPSP_813,21,4,Oui,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non
00000000005,00000000000000000000000005,IP5,Localite9,Structure8,106,PPSP_106,5,5,Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Non
00000000006,00000000000000000000000006,IP6,Localite4,Structure3,599,PPSP_599,24,6,Oui,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui
00000000007,00000000000000000000000007,IP7,Localite1,Structure19,931,PPSP_931,2,7,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui
00000000008,00000000000000000000000008,IP8,Localite4,Structure3,296,PPSP_296,5,8,Oui,Non,Non,Oui,Non,Oui,Non,Non,Oui,Oui
00000000009,00000000000000000000000009,IP9,Localite6,Structure4,619,PPSP_619,5,9,Oui,Oui,Non,Oui,Oui,Oui,Oui,Non,Non,Oui
00000000010,00000000000000000000000010,IP10,Localite9,Structure16,304,PPSP_304,18,10,Oui,Oui,Non,Non,Non,Oui,Non,Oui,Non,Oui
00000000011,00000000000000000000000011,IP11,Localite3,Structure12,641,PPSP_641,5,11,Oui,Non,Non,Oui,Oui,Oui,Non,Non,Oui,Oui
00000000012,00000000000000000000000012,IP12,Localite9,Structure14,771,PPSP_771,20,12,Oui,Non,Non,Oui,Oui,Oui,Oui,Non,Oui,Oui
00000000013,00000000000000000000000013,IP13,Localite6,Structure11,732,PPSP_732,13,13,Non,Oui,Oui,Oui,Oui,Parfois,Oui,Non,Oui,Non
00000000014,00000000000000000000000014,IP14,Localite4,Structure2,882,PPSP_882,18,14,Oui,Oui,Non,Oui,Oui,Oui,Oui,Non,Oui,Non
00000000015,00000000000000000000000015,IP15,Localite9,Structure10,865,PPSP_865,24,15,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui
00000000016,00000000000000000000000016,IP16,Localite4,Structure2,50,PPSP_50,10,16,Oui,Oui,Non,Non,Oui,Oui,Oui,Non,Non,Oui
00000000017,00000000000000000000000017,IP17,Localite2,Structure7,128,PPSP_128,10,17,Oui,Non,Oui,Non,Non,Parfois,Oui,Oui,Oui,Non
